,Month,Decade,Type,Country,Area,Location,Activity,Fatal,Time
1109,Jun-Aug,2000,Unprovoked,USA,Florida,"Intracoastal Waterway,      St. Petersburg",sports table,N,7-11
1110,Jun-Aug,2000,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,sports table,N,7-11
1111,Jun-Aug,2000,Provoked,BAHAMAS,unknown,unknown,sports table,N,12-17
1112,Jun-Aug,2000,Unprovoked,USA,California,"San Onofre, San Diego County ",low water,N,unknown
1113,Jun-Aug,2000,Unprovoked,SOUTH AFRICA,Western Cape Province,"Jogensfontein, Stilbaai",sports table,N,7-11
1114,Jun-Aug,2000,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",sports table,N,unknown
1115,Jun-Aug,2000,Provoked,USA,Florida,"Biscayne National Park, Miami",unknown,N,12-17
1116,Jun-Aug,2000,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",fishing,N,unknown
1117,Jun-Aug,2000,Invalid,USA,California,"Shell Beach, San Luis Obispo County",underwater,unknown,unknown
1118,Jun-Aug,2000,Invalid,USA,Florida,"Melbourne Beach, Brevard County",underwater,unknown,7-11
1119,Mar-May,2000,Provoked,VIETNAM,unknown,unknown,fishing,N,18-22
1120,Mar-May,2000,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,low water,N,18-22
1122,Mar-May,2000,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,sports table,Y,7-11
1123,Mar-May,2000,Provoked,TAIWAN,Off Green Island,Onboard the fishing vessel Chin Sheng Fa 13  ,sports table,N,7-11
1124,Mar-May,2000,Provoked,USA,Florida,"Clearwater Beach, Pinellas County",fishing,N,12-17
1125,Mar-May,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",fishing,N,unknown
1126,Mar-May,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",unknown,N,12-17
1127,Mar-May,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",sports table,N,7-11
1128,Mar-May,2000,Provoked,GUAM,North Region,Ritidian Point,sports table,N,12-17
1129,Mar-May,2000,Provoked,BAHAMAS,Exuma Islands,unknown,low water,N,unknown
1130,Mar-May,2000,Unprovoked,USA,Florida,"St. Augustine, St. John's County",sports table,N,12-17
1131,Mar-May,2000,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",sports table,N,12-17
1133,Mar-May,2000,Unprovoked,PHILIPPINES,Batangas province,Mabini,sports table,N,7-11
1134,Mar-May,2000,Unprovoked,USA,Florida,"Carlin Park, Jupiter Inlet",low water,N,7-11
1135,Mar-May,2000,Unprovoked,USA,Florida,"Walton Rocks, St Lucie County",fishing,N,7-11
1136,Mar-May,2000,Invalid,USA,Hawaii,Kona,low water,unknown,12-17
1137,Mar-May,2000,Unprovoked,AUSTRALIA,New South Wales,Fingal Bay,fishing,N,unknown
1138,Mar-May,2000,Invalid,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,sports table,unknown,12-17
1139,Mar-May,2000,Unprovoked,USA,California,San Diego County,sports table,N,18-22
1140,Mar-May,2000,Unprovoked,USA,Florida,"Sanibel Island, Lee County",sports table,N,7-11
1141,Mar-May,2000,Provoked,SOUTH AFRICA,Eastern Cape Province,2-3 km north of Sunday's River mouth,sports table,N,7-11
1142,Mar-May,2000,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",sports table,Y,12-17
1143,Mar-May,2000,Unprovoked,AUSTRALIA,New South Wales,Blue Bay,unknown,N,unknown
1144,Mar-May,2000,Unprovoked,AUSTRALIA,New South Wales,South Broulee,low water,N,18-22
1145,Mar-May,2000,Unprovoked,AUSTRALIA,New South Wales,Bateman's Bay,low water,N,unknown
1146,Mar-May,2000,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",sports table,N,7-11
1147,Mar-May,2000,Unprovoked,MALAYSIA,Strait of Malacca,Pulau Payar Island,fishing,N,12-17
1148,Mar-May,2000,Unprovoked,USA,Hawaii,Alenuihaha Channel,fishing,N,unknown
1149,Mar-May,2000,Provoked,AUSTRALIA,Western Australia,"The Natural Jetty, Rottnest Island",sports table,N,low afluency
1150,Dec-Feb,2000,Unprovoked,NEW CALEDONIA,South Province,Bourail,fishing,Y,7-11
1151,Dec-Feb,2000,Provoked,SOUTH AFRICA,Western Cape Province,Off Cape Point,sports table,N,12-17
1152,Dec-Feb,2000,Boatomg,NEW ZEALAND,North Island,Taranaki,sports table,N,18-22
1153,Dec-Feb,2000,Unprovoked,AUSTRALIA,New South Wales,Avalon,underwater,N,7-11
1154,Dec-Feb,2000,Unprovoked,AUSTRALIA,Queensland,Batt Reef,unknown,N,unknown
1155,Dec-Feb,2000,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",sports table,N,7-11
1156,Dec-Feb,2000,Unprovoked,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",sports table,N,7-11
1157,Dec-Feb,2000,Unprovoked,AUSTRALIA,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour",fishing,N,unknown
1158,Dec-Feb,2000,Sea Disaster,USA,Puerto Rico,Quebradillas,unknown,Y,unknown
1159,Dec-Feb,2000,Unprovoked,AUSTRALIA,New South Wales,Cellito Beach,fishing,N,7-11
1160,Dec-Feb,2000,Unprovoked,AUSTRALIA,New South Wales,Sandon,fishing,N,18-22
1161,Dec-Feb,2000,Provoked,AZORES,unknown,Onboard the fishing vessel Nuevo Cedes ,low water,N,12-17
1162,Dec-Feb,2000,Invalid,BRAZIL,unknown,Praia do Olho d'Aqua,low water,unknown,12-17
1163,Dec-Feb,2000,Unprovoked,CUBA,Guantanamo Province,Guantanamo Bay,low water,N,unknown
1164,Dec-Feb,2000,Boat,NEW ZEALAND,North Island,Alderman Islands,fishing,N,7-11
1165,Dec-Feb,2000,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",sports table,N,unknown
